schema_version,event_slug,market_id,city,target_date,settlement_high,settlement_bucket,settlement_unit,winning_band,winning_band_kind,winning_band_value,winning_band_value_hi,settlement_source,quality_grade,quality_reason,snapshot_count,band_count,row_count,coverage_clean,capture_ratio,max_gap_minutes,coverage_reason,resolution_source_type,resolution_wu_history_id,resolution_station,resolution_timezone,daily_max_window,rounding,daily_summary_path,snapshot_tape_path,ledger_path,polymarket_url,gamma_event_url,reconciliation_status,polymarket_winning_band,note,finalized_at_utc
settlement_ledger_v1,highest-temperature-in-los-angeles-on-june-9-2026,los-angeles,Los Angeles,2026-06-09,72.0,72,F,72-73°F,eq,72,73,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 46 min",101,11,1111,False,0.9351851851851852,45.69800043333333,"2 gap(s), max 46 min",wunderground_history,KLAX:9:US,KLAX,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klax\daily\daily_summary.csv,data\snapshots\highest-temperature-in-los-angeles-on-june-9-2026\snapshots_long.csv,data\settlements\los-angeles\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-los-angeles-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-los-angeles-on-june-9-2026,match,72-73 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-miami-on-june-6-2026,miami,Miami,2026-06-06,86.0,86,F,86-87°F,eq,86,87,snapshot_high,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-23:50),23,11,253,False,1.0,10.0,afternoon window not fully covered (captured 20:04-23:50),wunderground_history,KMIA:9:US,KMIA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kmia\daily\daily_summary.csv,data\snapshots\highest-temperature-in-miami-on-june-6-2026\snapshots_long.csv,data\settlements\miami\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-miami-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-miami-on-june-6-2026,match,86-87 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-miami-on-june-7-2026,miami,Miami,2026-06-07,88.0,88,F,88-89°F,eq,88,89,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,KMIA:9:US,KMIA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kmia\daily\daily_summary.csv,data\snapshots\highest-temperature-in-miami-on-june-7-2026\snapshots_long.csv,data\settlements\miami\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-miami-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-miami-on-june-7-2026,match,88-89 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-miami-on-june-8-2026,miami,Miami,2026-06-08,90.0,90,F,90-91°F,eq,90,91,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.975366,"2 gap(s), max 21 min",wunderground_history,KMIA:9:US,KMIA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kmia\daily\daily_summary.csv,data\snapshots\highest-temperature-in-miami-on-june-8-2026\snapshots_long.csv,data\settlements\miami\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-miami-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-miami-on-june-8-2026,match,90-91 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-miami-on-june-9-2026,miami,Miami,2026-06-09,88.0,88,F,88-89°F,eq,88,89,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.5644972333333,"3 gap(s), max 379 min",wunderground_history,KMIA:9:US,KMIA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kmia\daily\daily_summary.csv,data\snapshots\highest-temperature-in-miami-on-june-9-2026\snapshots_long.csv,data\settlements\miami\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-miami-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-miami-on-june-9-2026,match,88-89 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-6-2026,nyc,NYC,2026-06-06,91.0,91,F,90-91°F,eq,90,91,daily_summary,partial,"collection coverage incomplete: 3 gap(s), max 228 min; afternoon window not fully covered (captured 14:32-23:50)",34,11,374,False,0.6071428571428571,227.95173815,"3 gap(s), max 228 min; afternoon window not fully covered (captured 14:32-23:50)",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-6-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-6-2026,match,90-91 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-7-2026,nyc,NYC,2026-06-07,81.0,81,F,80-81°F,eq,80,81,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-7-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-7-2026,match,80-81 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-8-2026,nyc,NYC,2026-06-08,74.0,74,F,74-75°F,eq,74,75,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.9484372,"2 gap(s), max 21 min",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-8-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-8-2026,match,74-75 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-9-2026,nyc,NYC,2026-06-09,80.0,80,F,80-81°F,eq,80,81,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.5409466,"3 gap(s), max 379 min",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-9-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-9-2026,match,80-81 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-6-2026,san-francisco,San Francisco,2026-06-06,63.0,63,F,62-63°F,eq,62,63,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-02:54),41,11,451,False,1.0,10.0,afternoon window not fully covered (captured 20:04-02:54),wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-6-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-6-2026,match,62-63 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-7-2026,san-francisco,San Francisco,2026-06-07,67.0,67,F,66-67°F,eq,66,67,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9722222222222222,10.0,ok,wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-7-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-7-2026,match,66-67 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-8-2026,san-francisco,San Francisco,2026-06-08,64.0,64,F,64-65°F,eq,64,65,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",134,11,1474,False,0.9571428571428572,20.98240881666667,"2 gap(s), max 21 min",wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-8-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-8-2026,match,64-65 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-9-2026,san-francisco,San Francisco,2026-06-09,67.0,67,F,66-67°F,eq,66,67,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 46 min",101,11,1111,False,0.9351851851851852,45.69870436666667,"2 gap(s), max 46 min",wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-9-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-9-2026,match,66-67 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-seattle-on-june-6-2026,seattle,Seattle,2026-06-06,62.0,62,F,62-63°F,eq,62,63,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-02:54),41,11,451,False,1.0,10.0,afternoon window not fully covered (captured 20:04-02:54),wunderground_history,KSEA:9:US,KSEA,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksea\daily\daily_summary.csv,data\snapshots\highest-temperature-in-seattle-on-june-6-2026\snapshots_long.csv,data\settlements\seattle\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-seattle-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-seattle-on-june-6-2026,match,62-63 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-seattle-on-june-7-2026,seattle,Seattle,2026-06-07,65.0,65,F,64-65°F,eq,64,65,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9722222222222222,10.0,ok,wunderground_history,KSEA:9:US,KSEA,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksea\daily\daily_summary.csv,data\snapshots\highest-temperature-in-seattle-on-june-7-2026\snapshots_long.csv,data\settlements\seattle\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-seattle-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-seattle-on-june-7-2026,match,64-65 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-seattle-on-june-8-2026,seattle,Seattle,2026-06-08,61.0,61,F,60-61°F,eq,60,61,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",134,11,1474,False,0.9571428571428572,20.990264533333335,"2 gap(s), max 21 min",wunderground_history,KSEA:9:US,KSEA,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksea\daily\daily_summary.csv,data\snapshots\highest-temperature-in-seattle-on-june-8-2026\snapshots_long.csv,data\settlements\seattle\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-seattle-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-seattle-on-june-8-2026,match,60-61 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-seattle-on-june-9-2026,seattle,Seattle,2026-06-09,63.0,63,F,62-63°F,eq,62,63,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 46 min",101,11,1111,False,0.9351851851851852,45.69954465,"2 gap(s), max 46 min",wunderground_history,KSEA:9:US,KSEA,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksea\daily\daily_summary.csv,data\snapshots\highest-temperature-in-seattle-on-june-9-2026\snapshots_long.csv,data\settlements\seattle\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-seattle-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-seattle-on-june-9-2026,match,62-63 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-may-27-2026,toronto,Toronto,2026-05-27,25.0,25,C,25 C,eq,25,25,snapshot_high,partial,collection coverage incomplete: afternoon window not fully covered (captured 14:35-21:58),45,11,495,False,1.0,10.0,afternoon window not fully covered (captured 14:35-21:58),wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-may-27-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-may-27-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-may-27-2026,match,25 C,daily_summary=22 (rows=12) disagrees with snapshot high=25,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-may-28-2026,toronto,Toronto,2026-05-28,20.0,20,C,20 C,eq,20,20,daily_summary,complete,complete enough for headline scoring,64,11,704,True,0.9846153846153847,10.0,ok,wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-may-28-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-may-28-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-may-28-2026,match,20 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-may-30-2026,toronto,Toronto,2026-05-30,20.0,20,C,20 C,eq,20,20,daily_summary,partial,"collection coverage incomplete: 2 gap(s), max 74 min",51,11,561,False,0.8793103448275862,73.70685123333332,"2 gap(s), max 74 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-may-30-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-may-30-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-may-30-2026,match,20 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-may-31-2026,toronto,Toronto,2026-05-31,24.0,24,C,24 C,eq,24,24,daily_summary,partial,"collection coverage incomplete: 4 gap(s), max 96 min",57,11,627,False,0.8382352941176471,96.42034098333333,"4 gap(s), max 96 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-may-31-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-may-31-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-may-31-2026,match,24 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-1-2026,toronto,Toronto,2026-06-01,19.0,19,C,19 C,eq,19,19,daily_summary,complete,complete enough for headline scoring,85,11,935,True,1.0,10.0,ok,wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-1-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-1-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-1-2026,match,19 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-2-2026,toronto,Toronto,2026-06-02,25.0,25,C,25 C,eq,25,25,daily_summary,complete,complete enough for headline scoring,144,11,1584,True,1.0,10.0,ok,wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-2-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-2-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-2-2026,match,25 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-3-2026,toronto,Toronto,2026-06-03,29.0,29,C,28 C or higher,gte,28,28,daily_summary,partial,"collection coverage incomplete: 1 gap(s), max 16 min",143,11,1573,False,1.0,16.12179355,"1 gap(s), max 16 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-3-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-3-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-3-2026,match,28 C or higher,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-4-2026,toronto,Toronto,2026-06-04,30.0,30,C,30 C or higher,gte,30,30,daily_summary,partial,"collection coverage incomplete: 1 gap(s), max 19 min",143,11,1573,False,0.9930555555555556,19.386233416666666,"1 gap(s), max 19 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-4-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-4-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-4-2026,match,30 C or higher,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-5-2026,toronto,Toronto,2026-06-05,31.0,31,C,30 C or higher,gte,30,30,daily_summary,partial,"collection coverage incomplete: 2 gap(s), max 41 min",138,11,1518,False,0.965034965034965,41.13332881666667,"2 gap(s), max 41 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-5-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-5-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-5-2026,match,30 C or higher,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-6-2026,toronto,Toronto,2026-06-06,26.0,26,C,26 C,eq,26,26,daily_summary,partial,"collection coverage incomplete: 2 gap(s), max 228 min",120,11,1320,False,0.8391608391608392,228.35728451666668,"2 gap(s), max 228 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-6-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-6-2026,match,26 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-7-2026,toronto,Toronto,2026-06-07,24.0,24,C,24 C,eq,24,24,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-7-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-7-2026,match,24 C,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-8-2026,toronto,Toronto,2026-06-08,23.0,23,C,23 C,eq,23,23,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.928286833333335,"2 gap(s), max 21 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-8-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-8-2026,match,23 C,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-toronto-on-june-9-2026,toronto,Toronto,2026-06-09,24.0,24,C,24 C or below,lte,24,24,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.5392063666667,"3 gap(s), max 379 min",wunderground_history,CYYZ:9:CA,CYYZ,America/Toronto,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\cyyz\daily\daily_summary.csv,data\snapshots\highest-temperature-in-toronto-on-june-9-2026\snapshots_long.csv,data\settlements\toronto\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-toronto-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-toronto-on-june-9-2026,match,24 C or below,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
